Day,Month,Humidity
1,5,67
2,5,72
3,5,74
4,5,62
5,5,56
6,5,66
7,5,65
8,5,59
9,5,61
10,5,69
11,5,74
12,5,69
13,5,66
14,5,68
15,5,58
16,5,64
17,5,66
18,5,57
19,5,68
20,5,62
21,5,59
22,5,73
23,5,61
24,5,61
25,5,57
26,5,58
27,5,57
28,5,67
29,5,81
30,5,79
31,5,76
1,6,78
2,6,74
3,6,67
4,6,84
5,6,85
6,6,79
7,6,82
8,6,87
9,6,90
10,6,87
11,6,93
12,6,92
13,6,82
14,6,80
15,6,79
16,6,77
17,6,72
18,6,65
19,6,73
20,6,76
21,6,77
22,6,76
23,6,76
24,6,76
25,6,75
26,6,78
27,6,73
28,6,80
29,6,77
30,6,83
1,7,84
2,7,85
3,7,81
4,7,84
5,7,83
6,7,83
7,7,88
8,7,92
9,7,92
10,7,89
11,7,82
12,7,73
13,7,81
14,7,91
15,7,80
16,7,81
17,7,82
18,7,84
19,7,87
20,7,85
21,7,74
22,7,81
23,7,82
24,7,86
25,7,85
26,7,82
27,7,86
28,7,88
29,7,86
30,7,83
31,7,81
1,8,81
2,8,81
3,8,82
4,8,86
5,8,85
6,8,87
7,8,89
8,8,90
9,8,90
10,8,92
11,8,86
12,8,86
13,8,82
14,8,80
15,8,79
16,8,77
17,8,79
18,8,76
19,8,78
20,8,78
21,8,77
22,8,72
23,8,75
24,8,79
25,8,81
26,8,86
27,8,88
28,8,97
29,8,94
30,8,96
31,8,94
1,9,91
2,9,92
3,9,93
4,9,93
5,9,87
6,9,84
7,9,80
8,9,78
9,9,75
10,9,73
11,9,81
12,9,76
13,9,77
14,9,71
15,9,71
16,9,78
17,9,67
18,9,76
19,9,68
20,9,82
21,9,64
22,9,71
23,9,81
24,9,69
25,9,63
26,9,70
27,9,77
28,9,75
29,9,76
30,9,68
